record_id,enumerator_id,region,age,income,education,employment_status
HH-SCOTLAND-2745,E-1160,Scotland,73,30854,PhD,retired
HH-YORKSHIRE-3756,E-1021,South West,76,18885,No formal qualification,retired
HH-EAST-9218,E-1137,North East,26,5292,No formal qualification,unemployed
HH-WEST-5229,E-1149,London,35,8316,Master,student
HH-SOUTH-4283,E-1169,West Midlands,59,24644,A-level,retired
HH-WALES-6413,E-1169,Yorkshire,60,39436,Master,retired
HH-SOUTH-2821,E-1002,South East,81,7165,Degree,student
HH-NORTH-2121,E-1064,London,29,6570,Degree,student
HH-SOUTH-7413,E-1081,Scotland,26,40107,Degree,employed
HH-SOUTH-4135,E-1024,Yorkshire,70,27339,PhD,retired
HH-NORTH-5566,E-1046,South East,61,66781,Degree,employed
HH-EAST-9779,E-1019,Scotland,85,1636,A-level,unemployed
HH-WALES-7685,E-1108,West Midlands,41,43513,No formal qualification,employed
HH-EAST-5622,E-1029,North West,64,11367,A-level,retired
HH-SOUTH-2006,E-1158,North East,19,13670,PhD,retired
HH-SOUTH-9964,E-1195,North West,80,8753,Master,unemployed
HH-NORTH-7031,E-1099,Scotland,50,32863,No formal qualification,retired
HH-LONDON-1829,E-1160,Yorkshire,57,34802,GCSE,retired
HH-SOUTH-4251,E-1001,Yorkshire,40,83837,No formal qualification,employed
HH-WEST-1455,E-1193,South East,43,3155,A-level,unemployed
HH-NORTH-4047,E-1110,East Midlands,67,34216,GCSE,retired
HH-NORTH-2244,E-1079,Scotland,44,5126,Master,student
HH-EAST-2697,E-1189,Yorkshire,59,51602,Degree,employed
HH-WEST-7418,E-1018,Scotland,63,5291,Degree,student
HH-SOUTH-9622,E-1021,Wales,85,30846,GCSE,retired
HH-WALES-3142,E-1092,Yorkshire,24,32053,Master,employed
HH-YORKSHIRE-6013,E-1150,East Midlands,80,85503,No formal qualification,employed
HH-SOUTH-1342,E-1057,Wales,44,6170,No formal qualification,student
HH-NORTH-7303,E-1177,Scotland,38,13841,PhD,retired
HH-NORTH-2015,E-1050,South East,24,35121,GCSE,retired
HH-NORTH-4767,E-1077,London,81,34830,Degree,retired
HH-WEST-6400,E-1040,Wales,60,9619,Degree,unemployed
HH-YORKSHIRE-5618,E-1099,South East,51,32473,Degree,retired
HH-EAST-5672,E-1011,Wales,33,28213,GCSE,retired
HH-YORKSHIRE-9481,E-1172,North East,26,2929,No formal qualification,student
HH-WALES-2855,E-1185,South East,52,27771,GCSE,retired
HH-YORKSHIRE-6262,E-1096,North East,20,5718,Master,student
HH-WALES-8075,E-1152,Yorkshire,33,79807,GCSE,employed
HH-SOUTH-7594,E-1129,South East,41,7310,GCSE,unemployed
HH-YORKSHIRE-8126,E-1187,North East,30,1107,PhD,student
HH-SOUTH-3967,E-1075,Wales,28,1947,Master,unemployed
HH-SCOTLAND-1777,E-1112,South East,19,63476,Master,employed
HH-WEST-2635,E-1010,Wales,67,5553,A-level,student
HH-YORKSHIRE-2462,E-1086,North East,82,2433,Master,unemployed
